blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5,blue_avg_rank,red_avg_rank,blue_avg_mastery,red_avg_mastery,blue_avg_recent_wr,red_avg_recent_wr,blue_win
Garen,Volibear,Malzahar,Tristana,Velkoz,Darius,MasterYi,Kassadin,MissFortune,Lux,0.0,0.0,106878.8,48464.8,0.48,0.5,1
Vex,Jax,Lissandra,Jinx,Velkoz,Garen,MasterYi,Kassadin,Caitlyn,Morgana,0.0,0.0,89423.0,330701.6,0.56,0.58,1
Ornn,Nocturne,Zed,Smolder,Morgana,Teemo,Shaco,Annie,Jhin,Xerath,0.0,0.0,24238.6,546496.2,0.56,0.54,0
Olaf,Shyvana,Mordekaiser,MissFortune,Morgana,Tryndamere,Naafiri,Ahri,Lucian,Seraphine,0.0,0.0,10494.4,83513.8,0.44,0.48,1
Varus,Shaco,Akshan,Twitch,Nautilus,Sett,Aatrox,Syndra,MonkeyKing,TahmKench,0.0,0.0,61224.2,54985.0,0.44,0.46,0
Quinn,Ekko,Ahri,Naafiri,TahmKench,Teemo,Kayn,Malzahar,Varus,Ashe,0.0,0.0,100065.4,55015.6,0.48,0.42,0
Vayne,Volibear,Xerath,Caitlyn,Seraphine,Chogath,LeeSin,Zoe,Aphelios,Soraka,0.0,0.0,112056.0,222821.2,0.36,0.42,0
Garen,Shaco,Sylas,Smolder,Seraphine,DrMundo,Lillia,Akshan,Caitlyn,Lux,0.0,0.0,43984.6,258842.2,0.4267,0.48,1
Zoe,Jax,Yasuo,MissFortune,Zilean,Singed,Naafiri,Jayce,Jhin,Maokai,0.0,0.0,205992.4,17877.0,0.5,0.52,1
Irelia,Briar,Ziggs,MissFortune,Morgana,Gangplank,Twitch,Vex,Caitlyn,Zyra,0.0,0.0,91941.4,173497.6,0.5,0.36,1
Darius,Kayn,Akali,Yasuo,Ashe,Chogath,Evelynn,Veigar,Jinx,Nautilus,0.0,0.0,171727.4,42444.6,0.38,0.44,1
Caitlyn,JarvanIV,Ahri,Yunara,Lux,Mordekaiser,Jax,Yone,MissFortune,Shaco,0.0,0.0,19442.6,127185.4,0.36,0.42,1
Varus,Gwen,Naafiri,Jhin,Nautilus,Nasus,Diana,Smolder,Caitlyn,Thresh,0.0,0.0,99394.0,47751.2,0.5,0.54,1
Kayle,Jax,Ashe,Aphelios,Milio,Teemo,Nunu,Ziggs,Twitch,Pyke,0.0,0.0,126803.0,155483.6,0.54,0.56,0
Teemo,Hecarim,Yone,Samira,Lux,Aatrox,Sylas,Mel,Ezreal,Pantheon,0.0,0.0,137729.4,92192.8,0.34,0.46,0
TahmKench,Shen,Malzahar,Caitlyn,Seraphine,Singed,MasterYi,Ahri,Jinx,Yorick,0.0,0.0,31920.0,849634.4,0.4,0.38,0
