match_id,blue_win,blue_top_champion_name,blue_jungle_champion_name,blue_mid_champion_name,blue_adc_champion_name,blue_support_champion_name,red_top_champion_name,red_jungle_champion_name,red_mid_champion_name,red_adc_champion_name,red_support_champion_name,blue_avg_rank,red_avg_rank,blue_avg_recent_wr,red_avg_recent_wr,blue_avg_mastery,red_avg_mastery,top_matchup_wr,jungle_matchup_wr,mid_matchup_wr,adc_matchup_wr,support_matchup_wr,avg_matchup_wr,rank_diff,recent_wr_diff,mastery_diff
EUN1_3924048444,1,Garen,Volibear,Malzahar,Tristana,Velkoz,Darius,MasterYi,Kassadin,MissFortune,Lux,0.0,0.0,0.48,0.5,106878.8,48464.8,0.3333333333333333,1.0,1.0,0.4375,0.3333333333333333,0.6208333333333333,0.0,-0.020000000000000018,58414.0
EUN1_3931107622,1,Vex,Jax,Lissandra,Jinx,Velkoz,Garen,MasterYi,Kassadin,Caitlyn,Morgana,0.0,0.0,0.56,0.58,89423.0,330701.6,1.0,0.5,1.0,0.5882352941176471,0.5,0.7176470588235294,0.0,-0.019999999999999907,-241278.59999999998
EUN1_3928007263,0,Ornn,Nocturne,Zed,Smolder,Morgana,Teemo,Shaco,Annie,Jhin,Xerath,0.0,0.0,0.56,0.54,24238.6,546496.2,0.6666666666666666,0.3333333333333333,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.020000000000000018,-522257.6
EUN1_3931181039,1,Olaf,Shyvana,Mordekaiser,MissFortune,Morgana,Tryndamere,Naafiri,Ahri,Lucian,Seraphine,0.0,0.0,0.44,0.48,10494.4,83513.8,1.0,0.75,1.0,0.3333333333333333,0.45454545454545453,0.7075757575757576,0.0,-0.03999999999999998,-73019.40000000001
EUN1_3930462594,0,Varus,Shaco,Akshan,Twitch,Nautilus,Sett,Aatrox,Syndra,MonkeyKing,TahmKench,0.0,0.0,0.44,0.46,61224.2,54985.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,-0.020000000000000018,6239.199999999997
EUN1_3928347977,0,Quinn,Ekko,Ahri,Naafiri,TahmKench,Teemo,Kayn,Malzahar,Varus,Ashe,0.0,0.0,0.48,0.42,100065.4,55015.6,0.0,0.5,0.5,0.0,0.0,0.2,0.0,0.06,45049.799999999996
EUN1_3890141263,0,Vayne,Volibear,Xerath,Caitlyn,Seraphine,Chogath,LeeSin,Zoe,Aphelios,Soraka,0.0,0.0,0.36,0.42,112056.0,222821.2,0.0,0.0,0.0,0.0,0.5,0.1,0.0,-0.06,-110765.20000000001
EUN1_3928907684,1,Garen,Shaco,Sylas,Smolder,Seraphine,DrMundo,Lillia,Akshan,Caitlyn,Lux,0.0,0.0,0.4267,0.48,43984.6,258842.2,1.0,1.0,1.0,0.4444444444444444,0.5294117647058824,0.7947712418300654,0.0,-0.05329999999999996,-214857.6
EUN1_3926765013,1,Zoe,Jax,Yasuo,MissFortune,Zilean,Singed,Naafiri,Jayce,Jhin,Maokai,0.0,0.0,0.5,0.52,205992.4,17877.0,1.0,1.0,1.0,0.5882352941176471,1.0,0.9176470588235294,0.0,-0.020000000000000018,188115.4
EUN1_3918401889,1,Irelia,Briar,Ziggs,MissFortune,Morgana,Gangplank,Twitch,Vex,Caitlyn,Zyra,0.0,0.0,0.5,0.36,91941.4,173497.6,1.0,1.0,1.0,0.6216216216216216,0.3333333333333333,0.790990990990991,0.0,0.14,-81556.20000000001
EUN1_3921378647,1,Darius,Kayn,Akali,Yasuo,Ashe,Chogath,Evelynn,Veigar,Jinx,Nautilus,0.0,0.0,0.38,0.44,171727.4,42444.6,0.6666666666666666,0.5,0.7142857142857143,1.0,1.0,0.7761904761904762,0.0,-0.06,129282.79999999999
EUN1_3932150265,1,Caitlyn,JarvanIV,Ahri,Yunara,Lux,Mordekaiser,Jax,Yone,MissFortune,Shaco,0.0,0.0,0.36,0.42,19442.6,127185.4,1.0,1.0,0.6,0.2857142857142857,1.0,0.7771428571428571,0.0,-0.06,-107742.79999999999
EUN1_3910040862,1,Varus,Gwen,Naafiri,Jhin,Nautilus,Nasus,Diana,Smolder,Caitlyn,Thresh,0.0,0.0,0.5,0.54,99394.0,47751.2,1.0,1.0,1.0,0.4,0.6666666666666666,0.8133333333333332,0.0,-0.040000000000000036,51642.8
EUN1_3931038331,0,Kayle,Jax,Ashe,Aphelios,Milio,Teemo,Nunu,Ziggs,Twitch,Pyke,0.0,0.0,0.54,0.56,126803.0,155483.6,0.0,0.3333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,-0.020000000000000018,-28680.600000000006
EUN1_3916291064,0,Teemo,Hecarim,Yone,Samira,Lux,Aatrox,Sylas,Mel,Ezreal,Pantheon,0.0,0.0,0.34,0.46,137729.4,92192.8,0.25,0.0,0.3333333333333333,0.0,0.4,0.19666666666666666,0.0,-0.12,45536.59999999999
EUN1_3929186775,0,TahmKench,Shen,Malzahar,Caitlyn,Seraphine,Singed,MasterYi,Ahri,Jinx,Yorick,0.0,0.0,0.4,0.38,31920.0,849634.4,0.0,0.0,0.375,0.5454545454545454,0.0,0.18409090909090908,0.0,0.020000000000000018,-817714.4
EUN1_3928885563,1,Renekton,Lillia,Diana,Twitch,Brand,Mordekaiser,Teemo,Ekko,Sivir,Neeko,0.0,0.0,0.46,0.54,389792.4,348046.8,0.6666666666666666,1.0,0.5,0.5,1.0,0.7333333333333333,0.0,-0.08000000000000002,41745.600000000035
EUN1_3932107206,0,Sett,Zac,Mel,MissFortune,Morgana,Varus,Amumu,Akali,Caitlyn,Senna,0.0,0.0,0.36,0.3371,78374.0,79414.8,0.0,0.0,0.6666666666666666,0.6216216216216216,0.0,0.25765765765765763,0.0,0.022899999999999976,-1040.800000000003
EUN1_3928361459,1,Illaoi,JarvanIV,Tristana,Jhin,Lux,MasterYi,Vi,Yasuo,Vayne,Swain,0.0,0.0,0.38,0.52,62725.2,54803.2,1.0,1.0,1.0,0.8571428571428571,0.6,0.8914285714285715,0.0,-0.14,7922.0
EUN1_3930849333,0,Renekton,Nocturne,Sylas,Caitlyn,Morgana,Sett,Olaf,Yone,Jinx,Thresh,0.0,0.0,0.4,0.44,85483.2,136718.0,0.25,0.0,0.5,0.5454545454545454,0.0,0.2590909090909091,0.0,-0.03999999999999998,-51234.8
EUN1_3931710793,0,Renekton,Diana,Xerath,Caitlyn,Nautilus,Gragas,Shaco,Mel,Lucian,Lux,0.0,0.0,0.46,0.56,49397.0,110319.6,0.0,0.0,0.5,0.6666666666666666,0.0,0.2333333333333333,0.0,-0.10000000000000003,-60922.600000000006
EUN1_3865429383,0,Volibear,Viego,Veigar,Jax,Lux,Zaahen,Shaco,Morgana,Samira,Pyke,0.0,0.0,0.44,0.44,134003.0,141744.4,0.0,0.2,0.0,0.0,0.42857142857142855,0.12571428571428572,0.0,0.0,-7741.399999999994
EUN1_3929899026,1,Irelia,Ekko,Yone,Sivir,Brand,Garen,Kayn,Fizz,Lucian,Mel,0.0,0.0,0.4,0.6,453221.4,66700.2,1.0,0.5,1.0,1.0,0.5,0.8,0.0,-0.19999999999999996,386521.2
EUN1_3930080649,1,Rengar,Maokai,Kassadin,MissFortune,Brand,Mordekaiser,Diana,Yone,Jhin,Nautilus,0.0,0.0,0.48,0.46,135214.2,82133.2,1.0,1.0,1.0,0.5882352941176471,1.0,0.9176470588235294,0.0,0.019999999999999962,53081.000000000015
EUN1_3932164781,1,Sion,MasterYi,Sylas,Mel,Pantheon,Zaahen,Diana,Ekko,Yasuo,Morgana,0.0,0.0,0.48,0.54,43917.0,238657.0,0.5,0.4,1.0,1.0,0.5,0.6799999999999999,0.0,-0.06000000000000005,-194740.0
EUN1_3932157285,1,Shen,MasterYi,Fizz,Twitch,Morgana,Illaoi,Lillia,Lissandra,Caitlyn,Lux,0.0,0.0,0.44,0.42,127366.6,70060.2,1.0,1.0,0.5,0.3333333333333333,0.52,0.6706666666666667,0.0,0.020000000000000018,57306.40000000001
EUN1_3931701242,0,Yasuo,Udyr,Viktor,Ashe,Morgana,Tryndamere,Shyvana,Katarina,Aphelios,Pyke,0.0,0.0,0.52,0.5,278326.2,133688.0,0.5,0.0,0.0,0.0,0.75,0.25,0.0,0.020000000000000018,144638.2
EUN1_3932044468,0,Malphite,Diana,Mel,Varus,Teemo,Garen,Kayn,Veigar,MissFortune,TahmKench,0.0,0.0,0.54,0.42,97888.8,205415.0,0.5,0.0,0.375,0.25,0.0,0.225,0.0,0.12000000000000005,-107526.2
EUN1_3927517845,0,Garen,Graves,Yasuo,Ashe,Blitzcrank,Darius,Talon,Galio,Smolder,Zyra,0.0,0.0,0.4,0.52,56577.2,38490.2,0.3333333333333333,0.0,0.4,0.0,0.6666666666666666,0.27999999999999997,0.0,-0.12,18087.0
EUN1_3931942449,1,Malphite,Trundle,Yasuo,Vayne,Seraphine,Quinn,Kindred,Veigar,Xayah,Lux,0.0,0.0,0.46,0.42,427203.2,39540.6,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5294117647058824,0.7058823529411764,0.0,0.040000000000000036,387662.60000000003
EUN1_3931688834,0,Sett,Viego,Teemo,Caitlyn,Nautilus,Kayle,Kayn,AurelionSol,Jhin,Veigar,0.0,0.0,0.48,0.46,323154.8,239607.6,0.5,0.36363636363636365,0.0,0.375,0.0,0.24772727272727274,0.0,0.019999999999999962,83547.19999999998
