match_id,game_creation,game_duration,queue_id,blue_win,blue_top_champion_id,blue_top_champion_name,blue_top_riot_id,blue_top_puuid,blue_top_rank_numeric,blue_top_recent_wr,blue_top_mastery,blue_jungle_champion_id,blue_jungle_champion_name,blue_jungle_riot_id,blue_jungle_puuid,blue_jungle_rank_numeric,blue_jungle_recent_wr,blue_jungle_mastery,blue_mid_champion_id,blue_mid_champion_name,blue_mid_riot_id,blue_mid_puuid,blue_mid_rank_numeric,blue_mid_recent_wr,blue_mid_mastery,blue_adc_champion_id,blue_adc_champion_name,blue_adc_riot_id,blue_adc_puuid,blue_adc_rank_numeric,blue_adc_recent_wr,blue_adc_mastery,blue_support_champion_id,blue_support_champion_name,blue_support_riot_id,blue_support_puuid,blue_support_rank_numeric,blue_support_recent_wr,blue_support_mastery,blue_avg_rank,blue_avg_recent_wr,blue_avg_mastery,red_top_champion_id,red_top_champion_name,red_top_riot_id,red_top_puuid,red_top_rank_numeric,red_top_recent_wr,red_top_mastery,red_jungle_champion_id,red_jungle_champion_name,red_jungle_riot_id,red_jungle_puuid,red_jungle_rank_numeric,red_jungle_recent_wr,red_jungle_mastery,red_mid_champion_id,red_mid_champion_name,red_mid_riot_id,red_mid_puuid,red_mid_rank_numeric,red_mid_recent_wr,red_mid_mastery,red_adc_champion_id,red_adc_champion_name,red_adc_riot_id,red_adc_puuid,red_adc_rank_numeric,red_adc_recent_wr,red_adc_mastery,red_support_champion_id,red_support_champion_name,red_support_riot_id,red_support_puuid,red_support_rank_numeric,red_support_recent_wr,red_support_mastery,red_avg_rank,red_avg_recent_wr,red_avg_mastery
EUN1_3924048444,1773483167733,1722,420,1,86,Garen,162cm 110kg#JDD,JihymF1ebCkwY_QwTEsJ9OTEUxfspIY0czm776uvquK9mkPuodmwjAw3dWMQdCqkFOfauYQ5Urb2hA,0.0,0.3,44650,106,Volibear,C1wel#CWORD,jbc1J-pbzSiA3l9amCjXhrjoBmbHZDxLo8Vk-BrJVUJ-dVoO-ZZxYEs_GOWIeQlihV8xYC6sVFUF2A,0.0,0.6,175641,90,Malzahar,FilipHr4sko#6033,K2QeNlPnyfvOPUUMnMUzt0ExFaBOlrULukNnxe9Cjm5gGzkcrmru1aXibULIpy9xfRlsPJuXsp1gCQ,0.0,0.4,44033,18,Tristana,End33r#2707,3adOfdkIlB5jnP8bmqwRuemc7Le3yqQ8ZDDp160roZNy2PdD9xyAGoE6m0FEWUvVw5-iYlipWf-Oww,0.0,0.4,181517,161,Velkoz,Drogerash#1912,GhNvyI8AFSSpUSFqn3oDy-H5MGOu089qfNf-3VqjabWAVKLuTIaZrWNms9BN6bsMC8HYKbRmh8U_jw,0.0,0.7,88553,0.0,0.48,106878.8,122,Darius,N00berat0r#EUNE,bzRR1IRRNtZXERg6M0KA0N_5QzYq4NqgwI7GC7r9hIaNsynaAQUdRkqqxIyUkL7jv3Sb-Nb8bLZ3hQ,0.0,0.7,29153,11,MasterYi,M JB#1312,XyX36fg0DNcmY_37sDlVLF_6DGu3dOn3Bss5rvN5wtl5lF7bcRqU8w4ob5ya6pe3LqOxxz3BKVhMGw,0.0,0.4,20221,38,Kassadin,cominginblitz#9729,v8n_iNz4zqKtICOZTbY5ofSoL5zRTsXxyhCNCoS3bgxSRBKPJACIX6r4OQ5RfUJJeegrO-njOSps4g,0.0,0.4,6104,21,MissFortune,CombatWombat#CWCW,NF7YMxdW2BuJfdmGbrW5U6XsduE9XY8XTcKGASoBcD2h44WhtXOpOOdruNefugGQdb8VmZCfzlqFqA,0.0,0.5,32020,99,Lux,pandamas#EUNE,vDmMoevVfoYs22kClyckZZoGw9IakYx_FjKXEW-UVhaPU2KK8mX8-yWnpRjxDjd9nE6kU7TXlbCqZQ,0.0,0.5,154826,0.0,0.5,48464.8
EUN1_3931107622,1774784383824,1708,420,1,711,Vex,βαrαβαsz#EUNE,fLNnH_CnXQ7T9urYdm_ZDcvBa3iAWnbjzBQ1HeiDbNoPVw-ssBLvotbnGN1zsCSMbW8jmWHDX03WCA,0.0,0.5,34229,24,Jax,korniszonek1221#EUNE,qprlELctTigRL4LMYYEMeWjxUnOC_bbteiC4_w9b-VgWKXC-piPrRZe3hsSBmHfJniT9K1gLW-1U_w,0.0,0.6,74859,127,Lissandra,Kouradas#Slay,meheLxsR37C3hjaFtpHYYM_bE2XZS_qem96C6EjLtb52iB8WFVfIWv2B7I3eli22oRZDQPKtHWOlgg,0.0,0.6,153566,222,Jinx,Indyone#EUNE,v4vOm8zyGKPsOAjdrkJq_BlSTUrQEycgiLlKGZJcbtGApMbsicel17amnPJkzIv9dTUdpZvNs_UCQQ,0.0,0.7,153751,161,Velkoz,Thorsy#EUNE,NN3KxyJnsLFKISF89nvuE4we-x881TA-1j2fcQE5-EDYVy0ilVgX9GZWOlrmFvc0LWbnds4r34fzcA,0.0,0.4,30710,0.0,0.56,89423.0,86,Garen,waka waka e e#SANS,ZRPsONPblxPPtt49navFo8nYLnpDgO-_O-5jYvEkM3DxXq_6RiI3sUckaqq2SQsNzI1Q9lmF0uqJkw,0.0,0.6,14495,11,MasterYi,lol#CXF0,-Y5lG4TJ6s2bJ7QC9AI_IFUPf2Y_Ru4HUzvL8AH88Gvm0D71Rb8-If854EBALbsKnPSZy9wFyBqesw,0.0,0.5,1438814,38,Kassadin,BROASCA#TRAG,P0PRF1OHdqaXJ0q9EuIx1YkVwF-UGY5Tw92abTLSkznwiWeOn15VC-2Yx1J98x_BJREetWFd8XJ-AQ,0.0,0.5,104086,51,Caitlyn,feedarina#LAKC,wTVdr2nhYmOOplnfO20Rvz0BVuQnxF7NxwnBZ1X9H1jcvAiUoTPlgTT5-LCWsWemG-Wp_869WsthlA,0.0,0.6,42124,25,Morgana,Waldko#Wal,7WYLKhuGWx1Z2HYTw2Yduex5gx9IpsZLHx7EAcJ4XOW-g6WEUw8aXbRQoWTVyl2DnmODCzb45K37kw,0.0,0.7,53989,0.0,0.58,330701.6
EUN1_3928007263,1774196250409,2583,420,0,516,Ornn,Darkness123#3943,OZfnpKIQYyiCOUgyEQlXVADkUxsOgnwU4ykRKY7ZUhHgPzzXw1ijx87jqMk6KW6izzXLD-OJl8kv9g,0.0,0.3,2965,56,Nocturne,Kapuczinni#6969,Xb1rv9V3UMFt_5n_6ZlpzA_t4R5NiKsK2y5WgydJpp0c7sEz6qrtLLgyW_wKAGGnN3bIzAv4eIGPaQ,0.0,0.4,27760,238,Zed,xarhsroup#EUNE,VBmnph1jfxdr4HLg_7WvLOQTJUqt8IcrhhxPXRyerAtrBeg1Vr7DeAz39qYNGzpTGGnuVW05UyOTTA,0.0,0.5,59954,901,Smolder,Viffko#EUNE,tRLivjkarl1WR6ApBg2Dr5jOZ4QLnttYjQa_DegzjbuQILPcegW_1m_MiBa3a_mof4OLf6BEVZ7iMQ,0.0,0.8,22615,25,Morgana,Peugeot ME#auto,Ff5u6UX2lqyiWS6vA5OecwSQai8P_N-IGkBiMwZwBHJGTz7_0mAcntBg5Boxaqfxcef2cp0gDEi4SQ,0.0,0.8,7899,0.0,0.56,24238.6,17,Teemo,XxZyguSxX#EUNE,d-X8ZTpmsb0Awf0pdSuTACHDljpUjFH_5RsdAMMhC1JV3ZKWqZr8R0j17i0Q9LYVCGg65Rui9EcbZg,0.0,0.3,319640,35,Shaco,Naklos#1900,fEmZFpo48aRsi6N6ZRgCA0baC4_aa-9_YLyLNbJH1MP5nEbn1QUoMV5G1Cevy_GdFVMhAcfjdhd-zA,0.0,0.7,653434,1,Annie,ΝίκοςΧ#2860R,Rm6mhfshjBQN61SdZJnfKawqfArjFh2674I2Oxpk6eAK4dEQ4J4HRE6UHNslHJIP5hLafazZmMdr_Q,0.0,0.7,1563647,202,Jhin,balunik#9481,SJRVCrgMnoaOztRVXHsfhaNJm1P-MuUOa5y3YhIXXghZOHALuvsqGoKspCPPTZ2h4QP_woM2bHwoZQ,0.0,0.7,24016,101,Xerath,MATIDEKL123#EUNE,DlrIwAN51ey1JqF0TBzwSIrOqxmv88nkLFIf_jNULeg-67MgcXWh0n79hPYsg9ccjb8OV2y34wKguA,0.0,0.3,171744,0.0,0.54,546496.2
EUN1_3931181039,1774793825807,2346,420,1,2,Olaf,JUDGER3469#EUNE,EG8mkb2mLXv3PLF75G83QRbEKVkxvWbXBjDFX3qf83VeWgsfIoxcVbIeQ0qQ_aTNwxByFG3FbusXnA,0.0,0.7,9195,102,Shyvana,jungler mucha#EUNE,zh7dIbtoZPMw7RVb_tuGrqopvnbLsCXURGVP2fWDEry4CeUmCbDjIqbegKvUqWRivGVkprJWi4MXRA,0.0,0.4,14371,82,Mordekaiser,Darsax#drx,EqstY7O9IlLixNvLeAt8PN4jkQzI-RGnwjDUYTZcYeiLFwO7IuqkpQEngscBS9yWVwbghK4PmLRjxA,0.0,0.5,7718,21,MissFortune,Nani10#EUNE,M2AL8YxcW_DG-YE3RsTReNFyebybzZBlxbH2GadhJufEllXcVV-UVT6ASaQy_SwyZ-n5zboCt5-nAQ,0.0,0.3,14055,25,Morgana,BakaraLudi#EUNE,4PPpP9waHa1g0YASvASxutDf67ZZztpDOtAsNitqK6fBH6lyJ3KrzjfOySzHw-UJU8KDciq6bNPHdQ,0.0,0.3,7133,0.0,0.44,10494.4,23,Tryndamere,DawiD132#EUNE,IHO24DnvvYRxRF1PLZmgSLieZjic0kEf8WgqJAl5lmmyfqFl9jd3i5rxdP-oiE5dx7l3jLTtZWh_Xw,0.0,0.3,178855,950,Naafiri,MISIACZEK#6670,Y6hJn7bZa4e-2SL4LAivojfO3K2l4QCNS7Nytc4QvjW4qCGEW7y6Kt610dmJCjSr8OtHjwe5zpb4cA,0.0,0.7,2636,103,Ahri,ooppopopoppopopo#5518,DHrgHygGbWGDLF-2UtbsrWPEVzBZvenNr8FPTzJpELbxrKGaBZFpFyUuLRFdadqmtuuE7UbZssalyw,0.0,0.8,12393,236,Lucian,jimanplays#EUNE,Z2j9ihf2-pTyNzkaTMzO-u437hY12HbPCzXkVIn-mUcB8Fn1AVh8b21e-R3uZcqWGfFDp6wvVG_eoA,0.0,0.1,44858,147,Seraphine,boroweczka#2828,ZMrCEYt30R8bci_qEhVgJlEqFlbMYNO80GgOyrpu_y2F-eMtaTT-tjRkOR8NYBpH4kpPNhFn6CFcjQ,0.0,0.5,178827,0.0,0.48,83513.8
EUN1_3930462594,1774652393182,1186,420,0,110,Varus,abyssxe#GOD,btmQYeBIuTIxsxe9jegAnBMs-06DlT4M2dCaN0Ax_bRZd7bBaH3h7eYNErtC_L5ePfw3g5bDu8m9xg,0.0,0.4,233358,35,Shaco,KINEZ123456789#JAJE,QoDAcqeWKbdWgfhcHXgWI9d3s5Do_hxF9psTlDBgtINQ5796tH56zzMNdtMDAaayW_bFv23LBmCNnQ,0.0,0.4,28431,166,Akshan,psuju007#PSUJ,BCN-5LqIAgy9S-eNJQWWb4funkcUYrFA1dcH_RAZBtrSCsiDsn0Z6I-fzTfdAz88-5rjJpoy8075DA,0.0,0.4,13560,29,Twitch,Kkaram#macu,IEF1UcDBhRrf2_m8HyDGmNxMYomz9daSbjp1_UlAibrMVd8guRIf9y0tvGmVkEtURZWK8CTtNKdDMg,0.0,0.6,18811,111,Nautilus,BeastMaster#9922,4tmehk0-KDlSUJbdXKksrw0RXVZLZMQTGJE9muSRHj1roW7KhE4gL9VpMHap4xz4wqtGhS9UPuCaew,0.0,0.4,11961,0.0,0.44,61224.2,875,Sett,Zoran Šijan#Gavro,1ARCA41Ob_WjGIZQYR-PlENp4jB3tgUjWvvtB6zHykr8rJVDTm5LO0tl819weB4TOIVM3eKGwnJaLA,0.0,0.4,9976,266,Aatrox,枪枪全马真君#2020,eyLzE5608JgDD8nnjcF6G5WLtKY39gByfsNyZwJI874JJuBpAwxVoAUVMKCneKJcQJs34EVpdBZcNg,0.0,0.5,4386,134,Syndra,Bigos w Bidonie#1921,tcUxJalSXUfPOYARc3PVWFxnMeaHcWaKuzHu6SdeYtB53w1o76isog0arZ5wH5Y-Kf3ZtW3iPH_sig,0.0,0.4,161843,62,MonkeyKing,DAUNTLESS#sksk,6MyVsZ6v_ke2cJ70IBBSqcV12zVTWgTEPFot1v9BHcFKR2X7z0Z5Cbt-ti6M91NV37TKOSpPKMmkWA,0.0,0.5,42138,223,TahmKench,cokoladka#8044,EmvI4RkV45hWs3snNp-pYes-gpyYQjK3wCIE1-jItKECsw1PAOfOX9SXOL21IvmOLQ3dShmOT4ZECA,0.0,0.5,56582,0.0,0.46,54985.0
EUN1_3928347977,1774258560889,2289,420,0,133,Quinn,VirJhin#4916,KydcTXiKxZ-0Lun1tmgUkj02b6JqRr2GtWnodHLkZqdS4o7DIBVVQ3_5KYbFdWvUwU0EZoLT4z0ofQ,0.0,0.6,29968,245,Ekko,Bmbr#EUNE,L4UUoycJsw-8lSGikMsG5HDbJ8xDNQsi7LIX-W46v6m28XL7QK6CHPdQeG9oYRG_PA3LUhjoGMzmRA,0.0,0.4,48679,103,Ahri,Zusa#EUNE,Pa_RQ8VpxaOWgRivW2j-iAsPKWwnT2NS2liVEis2t0vajjw61-ius8o__omAV_RHZ4QILCcy4de2Jw,0.0,0.3,327818,950,Naafiri,Notguestin#EUNE,EYp7o_vYuwl3xouk1C7L4ewlILrIw-_QcMN8VbgHgHPcg3sRVwEb0CVNIIf_-LprnCvwtvEh35KfIw,0.0,0.6,6723,223,TahmKench,DICKSONEK#777,nyzkVpjhnoOmJQib5ppRpONEWSUzmIYmiVLzQou9xxEGB24y5pCaxlEzLLTTSxv_o1a_FbYJFi-gJA,0.0,0.5,87139,0.0,0.48,100065.4,17,Teemo,Oyabl#oyb,h7KnFNj4TarPxLMCKb2kfhN4tWWu32D-Puiahb4hm-PjEGi52b44tX8xe4vnijNKm0XoN-9Rwjn_wQ,0.0,0.5,12248,141,Kayn,xxRedrosE#EUNE,Z617b668S0NAA3dlKnmxvOzEnRJ3WX3TLSBFYlXhu9KSA1Xnxs0Nb8d5x0r2ZMNPaCB_wiL3CV4W-A,0.0,0.4,49113,90,Malzahar,CZYSTESUMIENIE#EUNE,vux9cnnwddel-GbiWxwK5qUrPgzRPAO7I3Chp8UxZ0vSkIstEWuvuzH00lgN8UyDMUi6dSq-Kq-Oyw,0.0,0.6,21011,110,Varus,Kazutø Kirigaya#sword,b8sd-_GPXe-gONm8EynXeauePKIs8oM0eG9mRF2VlOUZzGGJHwppWYIiwEBK4_Tuw8nEoXe-1l1vqg,0.0,0.4,33947,22,Ashe,emilios84#EUNE,BnOsjt2iW8WEKIlORXwa5IwlmkjaVNVRvkCenTa2jpi-a-FziAuq84bny4rb0QPY7SAcARI5u2n34Q,0.0,0.2,158759,0.0,0.42,55015.6
EUN1_3890141263,1768234315946,1731,420,0,67,Vayne,PowerForce7#EUNE,19EcpPFT8bhyxX3NuxuIo2JJHFAQxdTYRxmWh_vvlfjbMCHCDDeW3dBWxDzMkxnPRiKL5KeCamnl7Q,0.0,0.2,24860,106,Volibear,Reignman#40SS,rMr2kPRdUQR1tWcKcRfYvNkyprg9ZtFr1ggXYd_g1BDzMiHQravMUClMsTXZQisGCypKo3-dccTUIw,0.0,0.2,386243,101,Xerath,im noob dont rep#EUNE,XEsFuStsmLb0QB6cRBeNWlWebo4XCBb4aoVysPUrLsTYW6aqR3oF-z_uuJtuN9I0B8s2QWVL2wMvtQ,0.0,0.6,3602,51,Caitlyn,Dzesa#5544,1vFPwhWX4iUPFUN95Q8-KiZiDn_IdqVeonRJthnuwH6QUxNVGaO689AN9CKBvMZwT4x0D-pz1aqMCg,0.0,0.5,90382,147,Seraphine,xVsh4dowVx#1306,oZQSNtiywJPJaAqV2trHp_xZmzjTWV_3NeRCHBWSO-yNeJu_S0TsFeYgmkUTig4Su1jBf9NWL5W8Pg,0.0,0.3,55193,0.0,0.36,112056.0,31,Chogath,Piopio13#0713,NZkcmqKCr3wf1O7NICVig-DKS4jky4pIzaCKHbWdGPz8NVJL4ACIjHIkV_8Vx2RGxV-Q26th0TImFQ,0.0,0.2,25327,64,LeeSin,Manolisprokopis#EUNE,KKp3F8JdJP_wm9zKm_29r7336eADdi2nUBQDrC4M5jomtYFkCdDDk2GN59dMkVi4vSpsWOxddi67dw,0.0,0.2,270319,142,Zoe,降参しなさい#run,sv623Ook3M3qUckBxiXWayLqTepBs1EOtxl9N601PNwXI282IA53x1TJtQTaahFlfxThTr88TVTU1Q,0.0,0.6,8504,523,Aphelios,trakteraki#5259,uavKVrCK-iTdYLVyQ9gz-FT4xEW-BEWbpzJIGyrbBLtT165zlytrJmnRgenUDcmltV2A2fp4RhgMRQ,0.0,0.6,656053,16,Soraka,Verskl#EUNE,z_eYDLWwVoteV1Lo9Am9ZmmRN0OxgC1BkqYj7qtIdH2FO_fd-xyczzafqYWKP9apa2LHUScB1T7QLg,0.0,0.5,153903,0.0,0.42,222821.2
EUN1_3928907684,1774368942509,2086,420,1,86,Garen,ŁukZRoguJelenia#EUNE,wtgqd0D7Eo-oXnFiEstRSzmdikiBy5FYhzP3Cdhn8zGpxJeRVgAftptw32yMeuwuRPHKilXVE9lYpQ,0.0,0.3,19766,35,Shaco,Beloba#1217,thjKIhNOcxpUgkBQjEO4ZXbbQ9tiHADeMMhDHUZDdNEUKJFgV05I_GaELmTy9Th1CAL5JGdIY6FBUg,0.0,0.5,76746,517,Sylas,Krelix44#EUNE,BA9iNz40YvR2iOPGGdJCi0zjvqrR3EuVPTwXSzE2QF3InpCRvWqXy_QFODdhh5joAKfQaZ022tUDdg,0.0,0.3333,99332,901,Smolder,KOzArQ#8858,-xh4KwoDPU1CEHTrGn30gEizP0v2NSPp8BTPLtr7VuzXaeEhU54wpF6imYBTqlHtNkh984e4gC7CMg,0.0,0.4,7855,147,Seraphine,ESCOBAR hehe#EUNE,D8k-ZDoNQ-i3FWBmuERp3S3TpG5jO67Pe-qU8S0raNSjomCKKWp9hQipD7XE-9HXcsYf5Av8HHJqbQ,0.0,0.6,16224,0.0,0.4267,43984.6,36,DrMundo,Szymon216#6564,IMsCiE_jjvJVaqcb2NfWKAPhzDIJXpPEhYQdyDFICoUueHHNxgAxiQ8qJls5ZJvvumu1TcNl9B4hKA,0.0,0.6,10563,876,Lillia,Demeraa#MEOW,JXzO50L_jHQ-T4lmc6cAZDG1mdRT-LVls9vKjZl9J9Z4AIb3EKVezeNeWKWfWtWyzz_XsBh2jReyaw,0.0,0.6,47390,166,Akshan,DynamicPosse#BUDI,JiTv2oMxIiOOqKEfo4ysYfE5CMh1TErUXID1YKdnHw2KqqUDyATWFYS5UeNF9uZTNnLVCKiqHBo9IA,0.0,0.6,260354,51,Caitlyn,LunarUrHeart#QER,YrMldHw1voS7SLNjsflUApNwEisafGwCEKhzRH9lMp4vz4BQtf9WVuWaaNQBNF8cvIk89u82QuBm1Q,0.0,0.3,421936,99,Lux,LightUrHeart#QER,STyNKDXNs765s-azuZc03xooS0IX0DOlv14bkUc2czc7q6BmzVU4f6aASkVWo0GHCNEGCndB7XmZYg,0.0,0.3,553968,0.0,0.48,258842.2
EUN1_3926765013,1773961025247,1274,420,1,142,Zoe,akali lover#1509,By-kYR3-sRxc0fMJQ5w_Oz1IZ5yTZLHhQFqLssp2Il-HZwFUEMW6Ln64w9oRQBrJ7CCAle0zs9LWag,0.0,0.2,187745,24,Jax,Dante#1093,ZSvz_1walVSNdYrJfgKus-BZLqBfWLPDpqiqyMNNLVG_UJALKysqLEDT4DuzFhZxZKTqTGrp6eV7DA,0.0,0.2,44717,157,Yasuo,QklimaQ#000,ZDDI6YSQGBRA5Er-OWUfLS59syT-ZSwfhV51punCJkmW0Rp4a4WlzRASEA1IXk_f7lbU6bZygyMNNA,0.0,0.7,10493,21,MissFortune,VVasyllo#EUNE,rNYoAfnG8uO6-yqTkpTKu-q-x7qcfHJRE0NfBLaTdscv5PkleVe1tyjZnPJ8CpdLevyhFJdQIfIOJw,0.0,0.7,783600,26,Zilean,Danioszka1#EUNE,Mj1U66eBg3AK1dcbw5Fb3mMx0pQJH_1LOlwl_K_Mu1C3mGFuaZvW463vMg0BOIH97G89fcodCr0oGw,0.0,0.7,3407,0.0,0.5,205992.4,27,Singed,38659#EUNE,Z6GQUB5rPb0E-3dfIWsDsMMG-gpqwSgFl4kZqkvogm8x9hhgGZ5yn6ogl9O-v23_yQtWvLE9kLid5g,0.0,0.7,17541,950,Naafiri,towarekryszaltek#0420,bXQ837stx2acrY4rsVkZZmLjnzzrEc4emkc6-Pbx3oaPSgdjs28VAuAAPPJ9-Ra6CIwe6gfeNOCzcw,0.0,0.5,45146,126,Jayce,2high2cry#4200,C-mwvnkJl_P-6eBpAtkWh1Gomkrnp2ukrezfG9lJ324bSIqcwJ88yU2vbHB2zur3eTdoyZ9Muxu8SA,0.0,0.5,584,202,Jhin,Shifu554#12321,uZP2VKTZZbx1Agb9lGH6OCeXshnHl5qe9sY87fNR4SSt6q-_ABS2mA_nuNWweabU4v78eLmU97BBKA,0.0,0.2,11652,57,Maokai,Jabbathehut#EUNE,HdrhK22No1v8meoUeoUUghIMxg_keoHdUedhz2M4vcVCa4KCmEwF_4Cl4Qq0aw584iUIFPwuPJzm9g,0.0,0.7,14462,0.0,0.52,17877.0
EUN1_3918401889,1772456295381,1995,420,1,39,Irelia,nestoras12#6546,cMWIzFAOZwbgZqyuBWZAsHGeJUoJaBMElQyLmlgbVxq2KehTjhFkCqckY_mmvkl243ooTfHtP5ligQ,0.0,0.4,11164,233,Briar,トゥンホ#3103,oDztpqaq08KvAeOXrF2Z6srU7ydTOW1M_olljxsd9zPkazeRgrM_3aFu3soIvBZ9YwLKNLdJBzuG7Q,0.0,0.5,5025,115,Ziggs,jankkitankki#EUW,2tC9RW7lhB5eZ1ZNQQgZ8UwU2hwsPWUmjG9jkgXHX9E44HX1PtIPEvRbyw-GPW8kQ3p_pWo10ke8Zw,0.0,0.6,14166,21,MissFortune,Diasck1#EUNE,rUi5xlyN91UdELqkJ8sqxZBV19-2SHTx5GYfbVycmtxp26rFsjtt_tBPyuXIUCC4a3fj--Et1DBzsQ,0.0,0.5,365029,25,Morgana,MIKEAIR#8899,tC8qAve2Y65kLKqYhsNMiqT9ulW9LA9GbSUgTGYBFNMX6SGS23CrGp7er1DfIZNpwDNFijh4FLkMTA,0.0,0.5,64323,0.0,0.5,91941.4,41,Gangplank,YF3r5TY#EUNE,Zg3h2qR_NxE16jF5PpeA-zuqqtElqMeBCR_2ysdhncPZtpWV7RYNfYK03UXJHoopeJPTcNJTCfq6nQ,0.0,0.5,373088,29,Twitch,Seriously404#twtch,BUau5wKCBnNAD21EDdM-G8lG6lmgV1f-lH7lLKxPgySW920SvVrY5BuWurjBlp91WDIlgSAzr26Sfw,0.0,0.3,268764,711,Vex,Amazonka0#EUNE,u7AW6Y6c_7Mo8AW2TrAnpoM0DIQhcpgugYctGlRBdtJxs3bx5AaGOV6pIOX6oYMGTqQD-ylx4GSdEQ,0.0,0.5,210679,51,Caitlyn,BOSS OrZeLeK#EUNE,7dzTcOE0vpuBpYCYGfNquEdF9Oml6IgmhHIRqLjdE8wELTyYbKWRbH9H0aR6HZIUfDvf3paOnRx-Xw,0.0,0.2,10994,143,Zyra,TOBITCCI#EUNE,zSOVivBcks4SlNsQgy1fvmoRu1FrPWokkm0YF1B7wua5lNzwW2Mjxlbec4QDDOgb1yQkFhSF1WgR-g,0.0,0.3,3963,0.0,0.36,173497.6
