blue_champion,red_champion,blue_wr,games_count,lane
Aatrox,Ahri,0.0,1,top
Aatrox,Gangplank,1.0,1,top
Aatrox,Garen,0.0,2,top
Aatrox,Illaoi,0.0,1,top
Aatrox,Jax,1.0,2,top
Aatrox,Malphite,0.25,4,top
Aatrox,MonkeyKing,1.0,1,top
Aatrox,Mordekaiser,0.5,2,top
Aatrox,Pantheon,1.0,1,top
Aatrox,Renekton,0.0,1,top
Aatrox,Teemo,0.0,1,top
Aatrox,Yone,0.5,2,top
Aatrox,Zaahen,1.0,1,top
Ahri,Yasuo,0.0,1,top
Akali,Irelia,1.0,1,top
Akali,Jax,0.5,2,top
Akali,Kled,0.0,1,top
Akali,Rengar,0.0,1,top
Akali,Ryze,1.0,1,top
Akali,Sett,0.0,1,top
Akali,TahmKench,0.0,1,top
Akali,Volibear,0.0,1,top
Akali,Yorick,1.0,1,top
Akali,Zaahen,1.0,1,top
Akshan,DrMundo,0.0,1,top
Akshan,Malphite,1.0,1,top
Ambessa,Garen,0.0,1,top
Ambessa,Mordekaiser,0.0,1,top
Ambessa,Nasus,0.0,1,top
Ambessa,Teemo,0.0,1,top
Ambessa,Volibear,1.0,1,top
Ambessa,Yone,1.0,2,top
Anivia,Ambessa,1.0,1,top
Anivia,Nidalee,0.0,1,top
Anivia,Yone,0.0,1,top
Aphelios,Sett,0.0,1,top
Ashe,Irelia,0.0,1,top
Ashe,Kayle,1.0,1,top
Ashe,Mordekaiser,1.0,1,top
AurelionSol,Malzahar,0.0,1,top
Aurora,Zaahen,1.0,1,top
Brand,Mordekaiser,1.0,1,top
Briar,Yorick,0.0,1,top
Caitlyn,Gwen,0.0,1,top
Caitlyn,Mordekaiser,1.0,1,top
Caitlyn,Urgot,1.0,1,top
Caitlyn,Varus,1.0,2,top
Camille,TahmKench,0.0,1,top
Camille,Yone,0.0,1,top
Camille,Yorick,0.0,1,top
Cassiopeia,Darius,0.0,1,top
Cassiopeia,Heimerdinger,0.0,1,top
Cassiopeia,Jax,1.0,1,top
Cassiopeia,Trundle,1.0,1,top
Cassiopeia,Vayne,0.0,1,top
Chogath,Darius,0.0,2,top
Chogath,DrMundo,1.0,1,top
Chogath,FiddleSticks,1.0,1,top
Chogath,Garen,0.0,2,top
Chogath,Gragas,0.0,1,top
Chogath,Illaoi,0.0,1,top
Chogath,Jax,0.0,2,top
Chogath,Kayle,1.0,1,top
Chogath,Malphite,1.0,1,top
Chogath,Mordekaiser,0.0,1,top
Chogath,Ornn,0.0,1,top
Chogath,Renekton,0.0,2,top
Chogath,Sett,0.2,5,top
Chogath,Shen,0.0,1,top
Chogath,Teemo,0.3333333333333333,3,top
Chogath,Trundle,1.0,1,top
Chogath,Urgot,0.5,4,top
Chogath,Veigar,0.0,1,top
Chogath,Volibear,1.0,1,top
Chogath,Warwick,0.0,1,top
Chogath,Yasuo,1.0,1,top
Chogath,Yone,0.0,1,top
Chogath,Yorick,0.5,2,top
Chogath,Zaahen,0.0,1,top
Darius,Ambessa,1.0,2,top
Darius,Anivia,1.0,1,top
Darius,Chogath,0.6666666666666666,3,top
Darius,Gnar,0.0,1,top
Darius,Heimerdinger,0.0,1,top
Darius,Illaoi,0.5,4,top
Darius,Jax,1.0,2,top
Darius,Kayle,0.3333333333333333,3,top
Darius,Kennen,1.0,1,top
Darius,Kled,1.0,1,top
Darius,Lissandra,0.0,1,top
Darius,Malphite,0.8,5,top
Darius,Mordekaiser,0.75,4,top
Darius,Renekton,0.25,4,top
